item_no,part,material,qty,rough_dimensions_in,final_dimensions_in,operation,tolerance,inspection_gate,notes
CL-001,Top shell blank,DC04 or stainless steel,1,"supplier formed shell near 21 x 4.75 dome","21.0 diameter after trim; height per matched shell",supplier forming / trim,"diameter +/-0.06; thickness map recorded","verify no cracks, wrinkles, oil-canning","Do not force workbook values onto supplier shell without measuring"
CL-002,Bottom shell blank with Gu,DC04 or stainless steel,1,"supplier formed shell near 21 x 4.75 dome","21.0 diameter; 3.5 Gu opening with safe edge",cut port / deburr / roll lip,"Gu diameter +/-0.03; no burrs","measure port area and lip depth","Actual Gu frequency measured after assembly"
CL-003,Tuning support ring,steel or plywood prototype,1,"24 x 24 stock envelope","21 in support circle with padded contact",CNC / weld / route,"roundness +/-0.06","shell sits stable without rocking","Steel preferred for final tuning"
CL-004,Ding template,acrylic or hardboard,1,"8 x 8 sheet area","center Ding outline to tuner-approved diameter",laser/CNC/print,"layout +/-0.03","template aligns to shell center","Ding final contour is tuner-shaped"
CL-005,Tone field template Field 1,acrylic or hardboard,1,"6 x 6 sheet area","3.50 x 4.55 oval estimate",laser/CNC/print,"layout +/-0.03","visual check on shell curvature","Starting layout only"
CL-006,Tone field template Field 2,acrylic or hardboard,1,"6 x 6 sheet area","3.40 x 4.42 oval estimate",laser/CNC/print,"layout +/-0.03","visual check on shell curvature","Starting layout only"
CL-007,Tone field template Field 3,acrylic or hardboard,1,"6 x 6 sheet area","3.21 x 4.17 oval estimate",laser/CNC/print,"layout +/-0.03","visual check on shell curvature","Starting layout only"
CL-008,Tone field template Field 4,acrylic or hardboard,1,"6 x 6 sheet area","3.03 x 3.94 oval estimate",laser/CNC/print,"layout +/-0.03","visual check on shell curvature","Starting layout only"
CL-009,Tone field template Field 5,acrylic or hardboard,1,"5 x 5 sheet area","2.86 x 3.72 oval estimate",laser/CNC/print,"layout +/-0.03","visual check on shell curvature","Starting layout only"
CL-010,Tone field template Field 6,acrylic or hardboard,1,"5 x 5 sheet area","2.78 x 3.61 oval estimate",laser/CNC/print,"layout +/-0.03","visual check on shell curvature","Starting layout only"
CL-011,Tone field template Field 7,acrylic or hardboard,1,"5 x 5 sheet area","2.62 x 3.41 oval estimate",laser/CNC/print,"layout +/-0.03","visual check on shell curvature","Starting layout only"
CL-012,Tone field template Field 8,acrylic or hardboard,1,"5 x 5 sheet area","2.47 x 3.22 oval estimate",laser/CNC/print,"layout +/-0.03","visual check on shell curvature","Starting layout only"
CL-013,Adhesive coupons,scrap steel,4,"2 x 4 coupon strips","bonded and cured coupons",cut / prep / bond,"record cure schedule","peel/shear shop test","Required before final rim closure"
